cohort,time,event_time,estimate,std_error
21,1,-20,-0.06868568302766737,0.038295173298222004
21,2,-19,-0.051677156704009256,0.04023584323232617
21,3,-18,-0.04632612246716811,0.038456725260129006
21,4,-17,-0.030752462410429365,0.031233447031359482
21,5,-16,-0.05111746359802882,0.02666564044562326
21,6,-15,-0.029536250753442295,0.02952742953020934
21,7,-14,-0.029984411135846607,0.028951206678216476
21,8,-13,-0.016962324103901055,0.022759037054203724
21,9,-12,-0.03901212828147846,0.016107392155651615
21,10,-11,-0.02168752150409768,0.019930881489447296
21,11,-10,-0.022188169897507257,0.019953872706409748
21,12,-9,-0.01110310086438121,0.01164821571898674
21,13,-8,-0.02608754389761514,0.012619681871024704
21,14,-7,-0.014884564492197067,0.014843174582200995
21,15,-6,-0.012722187198530206,0.01680277906764494
21,16,-5,-0.010756692675076718,0.005659103490215906
21,17,-4,-0.02962022363472875,0.005923996025611659
21,18,-3,-0.004320865094717152,0.009312352475970793
21,19,-2,-0.009507553310892751,0.011796573533713684
21,20,-1,0,NA
21,21,0,-0.015612460813928308,0.00433900446035569
21,22,1,-0.0031600273260224757,0.006921719363170748
21,23,2,-0.011351290243472027,0.009732691933905944
21,24,3,-0.004779191575916029,0.007099293167674049
21,25,4,-0.035308545378344186,0.009243584209426397
21,26,5,-0.019544037674312162,0.00891911202618262
21,27,6,-0.02516524827087787,0.017033956595023027
21,28,7,-0.020938835883314036,0.0120411159385189
21,29,8,-0.04214814264762477,0.010348611275970114
21,30,9,-0.022323286811921653,0.014961617094936666
21,31,10,-0.023098870799689114,0.018629322445263014
21,32,11,-0.018138650616444693,0.011787637803925903
21,33,12,-0.03501394848119203,0.015951764196670205
21,34,13,-0.012058744541412564,0.017816224893250857
21,35,14,-0.011024291169776795,0.022816466598846258
21,36,15,-0.011803481971562266,0.01893849595234316
21,37,16,-0.03708743005450448,0.01790737482188761
21,38,17,-0.012775372765117504,0.021648271547230875
21,39,18,-0.01248736635301774,0.024866634827517168
21,40,19,-0.01633662675019598,0.017384246580187886
21,41,20,-0.04610012686469442,0.020099366289382352
21,42,21,-0.020937423825224954,0.023358573814690774
21,43,22,-0.02346853494836161,0.027715708078896166
21,44,23,-0.030630387890330957,0.02270078160926136
23,1,-22,-0.06703286041893072,0.06724843633531268
23,2,-21,-0.07129024695204825,0.081146469069715
23,3,-20,-0.08553381681832513,0.09060160396080409
23,4,-19,-0.05952809686640506,0.06856292325151472
23,5,-18,-0.057742534010957636,0.05678920773617024
23,6,-17,-0.05705156372038711,0.05001932251796278
23,7,-16,-0.07380973950548825,0.06822063321075537
23,8,-15,-0.05541232874106357,0.052788143383148724
23,9,-14,-0.050826000733321525,0.04188721695509907
23,10,-13,-0.046445004486758534,0.03610965354274085
23,11,-12,-0.052370385272336825,0.04163506440950173
23,12,-11,-0.02553864186031307,0.023083162817153436
23,13,-10,-0.02488082232430533,0.01782172884591591
23,14,-9,-0.027057968985798403,0.020379408284581575
23,15,-8,-0.03516375619475294,0.02784852917713832
23,16,-7,-0.020582309925616785,0.018300604065704523
23,17,-6,-0.014881363142231069,0.011316899876631786
23,18,-5,-0.011552007073678226,0.011391848632736063
23,19,-4,-0.019384235611835186,0.014387429083082295
23,20,-3,-0.009186124085940946,0.006517163427703971
23,21,-2,-4.8706952377400997e-4,0.01128776583603708
23,22,-1,0,NA
23,23,0,-0.009149566799139128,0.010107510923853166
23,24,1,-8.514201117822383e-4,0.010274292295122089
23,25,2,0.006508554353368279,0.016169822180253205
23,26,3,0.003755632428042034,0.008713432715000812
23,27,4,-7.306945617728267e-4,0.005865288737040285
23,28,5,0.007060727577548942,0.013930030842479381
23,29,6,0.008640667249822579,0.01841419707432498
23,30,7,0.010732287734277472,0.015458175252003943
23,31,8,-2.909920302527902e-4,0.01000135101126655
23,32,9,0.006403662963642122,0.019800977602799624
23,33,10,0.007448362088163723,0.023742637060767756
23,34,11,0.015720100192501488,0.020284426150052017
23,35,12,0.0134927096560008,0.014834656968267742
23,36,13,0.01948757428594748,0.02960287919760784
23,37,14,0.02116297226324207,0.032142450657351246
23,38,15,0.024182471513921514,0.03184302520965553
23,39,16,0.02015841387451707,0.024557385118638305
23,40,17,0.0207759624241365,0.03516652746020736
23,41,18,0.01285268526799456,0.038670027616969006
23,42,19,0.0203102981727578,0.03477691571852387
23,43,20,0.016112617773197654,0.024741332235371845
23,44,21,0.01771018922585095,0.03962403084312694
24,1,-23,0.008930941039058088,0.00927396149203331
24,2,-22,0.02096775935434604,0.0065409296396228035
24,3,-21,0.019975009035440194,0.006114060809019114
24,4,-20,0.021626687309573178,0.0072574838551627135
24,5,-19,0.010698312033423862,0.008251918592564331
24,6,-18,0.017867731120865482,0.005676838620432931
24,7,-17,0.012583967481531802,0.005517628040564936
24,8,-16,0.008776492138894032,0.006373479686339382
24,9,-15,7.155765279841519e-4,0.008200820549320559
24,10,-14,0.005522075552829492,0.005224321978249782
24,11,-13,0.00452070915725683,0.004512359868983871
24,12,-12,0.00439669914847568,0.0063260171454705034
24,13,-11,0.004694606532548329,0.008081631422012287
24,14,-10,0.007035289719690634,0.004874070206096805
24,15,-9,0.008342195891515955,0.0036264305348892773
24,16,-8,0.01340596694315338,0.0059949784866672705
24,17,-7,0.0037162542182458402,0.00790589335550211
24,18,-6,-9.586977593013038e-4,0.0037935303963818716
24,19,-5,-0.0023485987472412102,0.0018359488395179582
24,20,-4,0.005008136375015695,0.005559540267729517
24,21,-3,-0.004173878088825453,0.00824470877319632
24,22,-2,-0.001985619474568311,0.004026240291711105
24,23,-1,0,NA
24,24,0,-0.0031615382507027313,0.005885508838418429
24,25,1,-0.01835201175756672,0.010191201275274097
24,26,2,-0.020350210157801866,0.005442594280756307
24,27,3,-0.01635781085689711,0.0023681904075655742
24,28,4,-0.020125461852136362,0.008195814641255857
24,29,5,-0.018342049446475883,0.011273866353319457
24,30,6,-0.01663851529535825,0.007556009200815232
24,31,7,-0.015413581751459862,0.005030990104624751
24,32,8,-0.014614947873371448,0.00929021424273783
24,33,9,-0.02080566657285055,0.009237306569548683
24,34,10,-0.01775944602619301,0.008207227444668203
24,35,11,-0.01624241771011216,0.006237779218720117
24,36,12,-0.02357925311676863,0.008348919806503265
24,37,13,-0.0345825219691718,0.010463292982695617
24,38,14,-0.03570476262518417,0.009148213477835884
24,39,15,-0.031799172611659245,0.00802461493780144
24,40,16,-0.03713080448259644,0.00984816677969294
24,41,17,-0.05138039462783668,0.01192681623516946
24,42,18,-0.04531879034871557,0.01129156778878269
24,43,19,-0.04446912276301382,0.010287800791570514
24,44,20,-0.05412434158474465,0.011511369496092577
25,1,-24,-0.00245942909357319,0.01916564029114437
25,2,-23,0.024257375442491513,0.015087535269249214
25,3,-22,0.04021743170765324,0.020160770082812706
25,4,-21,0.020092923269575763,0.013507548443273502
25,5,-20,0.007980149749383547,0.014120633444710085
25,6,-19,0.031764965864737885,0.014840602865886534
25,7,-18,0.049171996821167754,0.022083102511075432
25,8,-17,0.026363612665104036,0.011171400859387148
25,9,-16,0.013849555143929645,0.013977314129883456
25,10,-15,0.03241902757321628,0.014853958455548124
25,11,-14,0.04563480376070288,0.021922906951680195
25,12,-13,0.021323442278711954,0.009783547876441992
25,13,-12,0.010817860904329832,0.010782054063334953
25,14,-11,0.03249017317919553,0.012951843319044901
25,15,-10,0.04524228587344569,0.01929852838426831
25,16,-9,0.01944278049176513,0.007019536362223344
25,17,-8,0.006253920809029437,0.009853429390638319
25,18,-7,0.022995943349101378,0.01149537347828679
25,19,-6,0.02889393415098655,0.01746188935147026
25,20,-5,0.010885384922834203,0.004803749077164153
25,21,-4,-0.0021048182741634155,0.008695377514637769
25,22,-3,0.01168626055827292,0.00903666712934457
25,23,-2,0.02075404848272375,0.016200230518146164
25,24,-1,0,NA
25,25,0,-0.01834726027380297,0.008403188728095664
25,26,1,-0.0021308562730881497,0.011184902956936586
25,27,2,0.008425594922652165,0.01707382398651575
25,28,3,-0.014580644037843211,0.0038770397708242543
25,29,4,-0.025359681973175476,0.01044194865552135
25,30,5,-0.009431812606392156,0.010534350899807796
25,31,6,0.0036609289660213262,0.016796307813800513
25,32,7,-0.016965203025495618,0.007927761473182107
25,33,8,-0.027444807877896903,0.016248881300649384
25,34,9,-0.008313896955695316,0.011849776156741649
25,35,10,0.003123554833045758,0.016564205518673384
25,36,11,-0.024037178074595517,0.012827259729087707
25,37,12,-0.04020920484431631,0.017024482717887885
